canonical_name,market_prices,min_price,max_price,price_diff,price_diff_percent,cheapest_market,most_expensive_market,num_markets
100 ice kolonya ml rebul,"carrefour: 156.9, sokmarket: 21.9",21.9,156.9,135.0,616.4383888244629,sokmarket,carrefour,2
1600 biscoff gr lotus original spread,"marketpaketi: 625, carrefour: 87.68",87.68,625.0,537.32,612.8193378448486,carrefour,marketpaketi,2
10 105 aromal g ice nescafe nut paket toffee x,"marketpaketi: 60, migros: 8.5",8.5,60.0,51.5,605.8823585510254,migros,marketpaketi,2
1 106 3 arada aromal choco cikolata g ice nescafe u,"migros: 8.5, marketpaketi: 60, mopas: 9.75",8.5,60.0,51.5,605.8823585510254,migros,marketpaketi,3
3 5 aluminyum folyo hediye m m rollup,"sokmarket: 30.5, mopas: 68.95, migros: 66.95, carrefour: 214.9",30.5,214.9,184.4,604.5901298522949,sokmarket,carrefour,4
5730 cv ionic kurtuma makinesi rowenta sac shine tr ultimate,"migros: 239.95, carrefour: 1659",239.95,1659.0,1419.05,591.3940906524658,migros,carrefour,2
cantas doktor gepettoys oyuncak,"carrefour: 50.8, sokmarket: 349, migros: 199.95",50.8,349.0,298.2,587.0079040527344,carrefour,sokmarket,3
80 ac bagdat biber ekstra g pul,"sokmarket: 19, carrefour: 23.9, migros: 22.5, marketpaketi: 130, mopas: 22.95",19.0,130.0,111.0,584.2105388641357,sokmarket,marketpaketi,5
10 12 300 adet cokoprens gr lu ulker x,"marketpaketi: 6.9, mopas: 6.9, carrefour: 6, migros: 6, sokmarket: 39.9",6.0,39.9,33.9,565.0000095367432,carrefour,sokmarket,5
5 750 adet biskuvi finger gr ulker x,"carrefour: 14, marketpaketi: 82.99, sokmarket: 32, migros: 92.5",14.0,92.5,78.5,560.7142925262451,carrefour,migros,4
140 gr guzel kemalpasa tat tatls,"sokmarket: 26.5, migros: 105, marketpaketi: 44.9, mopas: 49.95, carrefour: 175",26.5,175.0,148.5,560.3773593902588,sokmarket,carrefour,5
mendil mentollu selpak,"mopas: 8.65, carrefour: 57.05",8.65,57.05,48.4,559.5376014709473,mopas,carrefour,2
2 ekstra guclu li parex paspas paspas set standart ve,"carrefour: 1449.9, migros: 219.95",219.95,1449.9,1229.9501,559.1953277587891,migros,carrefour,2
1 10 17 3 arada fndkl g nescafe u x,"migros: 8.5, marketpaketi: 10, sokmarket: 56, carrefour: 8.5, mopas: 9.75",8.5,56.0,47.5,558.8235378265381,carrefour,sokmarket,5
400 creme ml nivea sampuan soft vucut,"marketpaketi: 202.9, mopas: 328.85, migros: 50",50.0,328.85,278.85,557.7000141143799,migros,mopas,3
ama de istiyorum istiyorum olmek tteokbokki yemek,"migros: 100, carrefour: 649.9",100.0,649.9,549.9,549.9000072479248,migros,carrefour,2
250 cafe ilavesiz kahve latte ml nescafe seker soguk xpress,"carrefour: 55, migros: 8.5, marketpaketi: 10, mopas: 9.75, sokmarket: 9.5",8.5,55.0,46.5,547.0588207244873,migros,carrefour,5
balkc livaneli oglu ve zulfu,"sokmarket: 27.95, migros: 180",27.95,180.0,152.05,544.007158279419,sokmarket,migros,2
200 6 aromal dogal frenk karadut maden ml srma suyu uzumu ve x,"carrefour: 19.9, marketpaketi: 45, mopas: 24.95, sokmarket: 7",7.0,45.0,38.0,542.8571224212646,sokmarket,marketpaketi,4
700 aromal cikolata fo kokteyl ml surup,"migros: 151.95, carrefour: 24, marketpaketi: 100",24.0,151.95,127.95,533.1249713897705,carrefour,migros,3
500 bonfile dondurulmus g gedik parcalar pilic pilic,"sokmarket: 13.5, mopas: 54.95, marketpaketi: 85, carrefour: 19, migros: 54.95",13.5,85.0,71.5,529.6296119689941,sokmarket,marketpaketi,5
650 bufe coex gr ketcap tat tatl,"carrefour: 8.35, mopas: 43.65, sokmarket: 34.9, migros: 51.95",8.35,51.95,43.6,522.1556663513184,carrefour,migros,4
burma fstkl kadayf kg,"migros: 44.9, carrefour: 279",44.9,279.0,234.1,521.3808536529541,migros,carrefour,2
500 aroma banyo cicegi deniz dus etkilli feel glow ile jeli manolya ml olu ozu palmolive peeling sensations the tuzu ve ve,"carrefour: 137.3, migros: 84.95, marketpaketi: 165, sokmarket: 40.5, mopas: 247.2",40.5,247.2,206.7,510.3703498840332,sokmarket,mopas,5
2 400 6 ay bazl devam gr hipp keci organik sutu sutu,"carrefour: 82.5, marketpaketi: 500, migros: 109.95, mopas: 126.45",82.5,500.0,417.5,506.0606002807617,carrefour,marketpaketi,4
900 coco gr kelloggs pops toplar ulker,"mopas: 74.7, marketpaketi: 89.9, carrefour: 14.9",14.9,89.9,75.0,503.3556938171387,carrefour,marketpaketi,3
biber cesitleri dolgulu kg peynir,"carrefour: 24.99, migros: 149.95, sokmarket: 44.9",24.99,149.95,124.96,500.04000663757324,carrefour,migros,3
250 6 aromal beyoglu gazl icecek karsk klasik meyve ml x,"migros: 129, carrefour: 21.5",21.5,129.0,107.5,500.0,carrefour,migros,2
1500 3 adet baby camasr deterjan ml sv uni x,"carrefour: 83.97, marketpaketi: 500, mopas: 226.5, migros: 349.95",83.97,500.0,416.03,495.4507350921631,carrefour,marketpaketi,4
12li bic boya evolution jumbo kalemi kids kuru kutu ucgen,"marketpaketi: 32.9, migros: 17, carrefour: 99.99",17.0,99.99,82.99,488.17644119262695,migros,carrefour,3
5032 ar arzum ikona kurutma makinesi sac,"migros: 84.95, carrefour: 499, sokmarket: 399",84.95,499.0,414.05,487.40434646606445,migros,carrefour,3
150 balk dondurulmus dunyas g jumbo karides tava,"migros: 94.95, mopas: 459.95, carrefour: 109, sokmarket: 79",79.0,459.95,380.95,482.21521377563477,sokmarket,mopas,4
25 25li cm cop rollup sis yass,"sokmarket: 26.95, carrefour: 8.6, migros: 49.95",8.6,49.95,41.35,480.81393241882324,carrefour,migros,3
1 baharat ipekyolu kg pudra sekeri,"carrefour: 24.5, migros: 5.25, mopas: 27.55, marketpaketi: 30, sokmarket: 20",5.25,30.0,24.75,471.42858505249023,migros,marketpaketi,5
20 706 asonic asx kablosu sarj to typec typec w,"migros: 549.95, sokmarket: 99.95",99.95,549.95,450.0,450.2251148223877,sokmarket,migros,2
